,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,-0.276,0.234,-0.752,-0.0,0.069,0.024,11.0,124.0,1.29
adstock_alpha[google_paid_search_spend],0.139,0.12,0.001,0.347,0.02,0.017,37.0,68.0,1.09
adstock_alpha[google_shopping_spend],0.867,0.181,0.437,0.992,0.063,0.1,17.0,11.0,1.18
adstock_alpha[google_pmax_spend],0.159,0.109,0.001,0.357,0.017,0.006,31.0,73.0,1.11
adstock_alpha[google_display_spend],0.277,0.234,0.0,0.718,0.032,0.019,55.0,119.0,1.06
adstock_alpha[google_video_spend],0.314,0.226,0.001,0.737,0.026,0.014,98.0,103.0,1.06
adstock_alpha[meta_facebook_spend],0.097,0.084,0.0,0.247,0.008,0.007,71.0,182.0,1.06
adstock_alpha[meta_instagram_spend],0.073,0.07,0.0,0.196,0.012,0.008,30.0,108.0,1.11
adstock_alpha[meta_other_spend],0.411,0.229,0.002,0.792,0.028,0.012,67.0,85.0,1.05
adstock_alpha[tiktok_spend],0.234,0.178,0.0,0.549,0.018,0.013,86.0,84.0,1.04
saturation_slope[google_paid_search_spend],0.401,0.469,0.016,1.3,0.133,0.083,9.0,96.0,1.37
saturation_slope[google_shopping_spend],1.252,0.469,1.0,1.872,0.136,0.219,21.0,15.0,1.13
saturation_slope[google_pmax_spend],1.171,0.315,1.0,1.481,0.093,0.171,13.0,12.0,1.23
saturation_slope[google_display_spend],2.373,0.943,1.003,4.002,0.108,0.045,79.0,201.0,1.03
saturation_slope[google_video_spend],2.208,0.858,1.0,3.818,0.232,0.08,13.0,90.0,1.23
saturation_slope[meta_facebook_spend],0.528,0.283,0.11,1.036,0.044,0.037,27.0,108.0,1.11
saturation_slope[meta_instagram_spend],1.203,0.227,1.0,1.595,0.071,0.091,14.0,14.0,1.23
saturation_slope[meta_other_spend],2.272,0.835,1.003,3.702,0.121,0.032,46.0,148.0,1.1
saturation_slope[tiktok_spend],3.03,0.861,1.123,4.463,0.158,0.06,30.0,88.0,1.12
saturation_kappa[google_paid_search_spend],1.217,0.987,0.006,2.986,0.195,0.057,23.0,154.0,1.15
saturation_kappa[google_shopping_spend],0.87,0.81,0.063,2.541,0.274,0.223,11.0,31.0,1.31
saturation_kappa[google_pmax_spend],0.182,0.063,0.08,0.31,0.018,0.008,13.0,48.0,1.26
saturation_kappa[google_display_spend],2.163,0.948,0.134,3.67,0.16,0.074,34.0,18.0,1.09
saturation_kappa[google_video_spend],1.95,0.972,0.222,3.519,0.178,0.064,29.0,65.0,1.11
saturation_kappa[meta_facebook_spend],1.106,0.851,0.016,2.665,0.139,0.048,17.0,34.0,1.18
saturation_kappa[meta_instagram_spend],1.899,0.731,0.77,3.343,0.107,0.054,51.0,67.0,1.09
saturation_kappa[meta_other_spend],1.969,1.055,0.0,3.56,0.237,0.109,20.0,12.0,1.15
saturation_kappa[tiktok_spend],2.191,0.782,0.852,3.718,0.082,0.05,86.0,131.0,1.06
saturation_beta[google_paid_search_spend],0.42,0.344,0.022,1.068,0.111,0.036,8.0,77.0,1.43
saturation_beta[google_shopping_spend],0.399,0.29,0.007,0.804,0.054,0.078,24.0,42.0,1.15
saturation_beta[google_pmax_spend],0.327,0.055,0.223,0.426,0.008,0.005,49.0,36.0,1.06
saturation_beta[google_display_spend],0.314,0.424,0.001,1.012,0.045,0.055,52.0,69.0,1.06
saturation_beta[google_video_spend],0.32,0.45,0.001,1.205,0.087,0.041,18.0,44.0,1.18
saturation_beta[meta_facebook_spend],0.523,0.274,0.125,0.978,0.037,0.041,47.0,114.0,1.11
saturation_beta[meta_instagram_spend],1.352,0.44,0.661,2.281,0.057,0.034,47.0,65.0,1.08
saturation_beta[meta_other_spend],0.359,0.505,0.0,1.378,0.077,0.058,47.0,151.0,1.1
saturation_beta[tiktok_spend],0.889,0.742,0.002,2.26,0.123,0.033,29.0,192.0,1.1
gamma_control[t],-0.0,0.0,-0.001,-0.0,0.0,0.0,53.0,110.0,1.11
gamma_control[nonpaid_clicks],0.0,0.0,0.0,0.0,0.0,0.0,92.0,249.0,1.05
gamma_fourier[sin_1],0.025,0.006,0.013,0.036,0.001,0.0,55.0,82.0,1.08
gamma_fourier[sin_2],0.009,0.006,-0.0,0.022,0.001,0.0,20.0,76.0,1.14
gamma_fourier[cos_1],-0.047,0.009,-0.062,-0.03,0.002,0.001,17.0,36.0,1.16
gamma_fourier[cos_2],0.023,0.01,0.0,0.04,0.003,0.002,12.0,21.0,1.28
y_sigma,0.041,0.003,0.036,0.046,0.001,0.0,21.0,56.0,1.15
